event_id,source,title,url,publish_time,author,content,like_count,share_count,comment_count,read_count
0,央视网,看图学习丨奋力打开改革发展新天地 总书记作出重要指引,https://news.cctv.com/2024/10/31/ARTILCuTfOmJQLhvlqp7OTi8241031.shtml,2024-10-31 16:29:53,,改革只有进行时，没有完成时。10月29日，省部级主要领导干部学习贯彻党的二十届三中全会精神专题研讨班在中央党校（国家行政学院）开班。习近平总书记发表重要讲话，就进一步全面深化改革的一系列重大问题进行深刻阐释，强调要牢牢把握、始终坚守“守正创新”这一重大原则，把握好“四对关系”，奋力打开改革发展新天地。一起来学习！,,,,
1,央视网,近2500个大陆景区对台湾“首来族”游客推出促销活动,https://news.cctv.com/2024/10/31/ARTIIiWywlLCv032cUdIGkTg241031.shtml,2024-10-31 16:29:32,,国务院台办发言人朱凤莲30日在北京表示，截至目前，累计有近2500个大陆景区对台湾“首来族”游客推出促销活动。台湾“首来族”游客可通过景区网站、入口标识和相关旅行社等，及时了解景区有关减免门票费用措施。,,,,
2,央视网,“辣”出经济“热力” 全产业链转型 “小辣椒”催生“大生意”,https://news.cctv.com/2024/10/31/ARTIBRGYvdOqDjxtEKO8mSvC241031.shtml,2024-10-31 16:23:14,,这段时间，新疆巴州60余万亩色素辣椒进入集中晾晒加工期。辣椒加工企业抢抓时机、全力开工，加紧收购、加工辣椒产品。,,,,
3,央视网,“广交会生意”热闹火热 释放城市消费新活力,https://news.cctv.com/2024/10/31/ARTIuHgCk9UFRP90du27qJP4241031.shtml,2024-10-31 16:23:05,,在广交会会场内，客商们看品、选货、询价，逛一圈需要超强的体力。忙了一整天，这些来自世界各地的客商是选择回酒店休息？还是继续逛一逛？,,,,
4,央视网,广交会“探宝”，中国创造大有可为！,https://news.cctv.com/2024/10/31/ARTIVuKmfJ5miTIpMK7OruPC241031.shtml,2024-10-31 16:22:56,,20204年的广交会上，涌现出了一批新企业、新产品、新技术、新业态。同时，也评选出了2024年广交会设计创新奖（CF奖），向世界呈现了“中国智造”的新名片。在展示大厅，2024年获奖的设计精品悉数亮相，这里有智能制造、科技赋能、创新材料等特点的获奖产品。,,,,
5,央视网,“变”出机遇、“惠”利百姓，创新服务叫好又叫座……,https://news.cctv.com/2024/10/31/ARTIcPgzKhwl7X6TG67zQTyE241031.shtml,2024-10-31 16:22:46,,日前，我国城市公共交通领域的第一部行政法规《城市公共交通条例》（以下简称《条例》）正式对外公布，并将从12月1日起施行。,,,,
6,央视网,商务部公布2025年货物出口配额总量及配额管理有关事项,https://news.cctv.com/2024/10/31/ARTISeyH6l5CCIydJyrurMXL241031.shtml,2024-10-31 16:11:18,,商务部公告2024年第47号 公布2025年货物出口配额总量。,,,,
7,央视网,商务部：对于中欧汽车产业互利共赢的正常经贸投资合作，中方一直是支持和鼓励的,https://news.cctv.com/2024/10/31/ARTINqdCfZfcGJmcSj9Kdnom241031.shtml,2024-10-31 16:00:36,,对于中欧汽车产业互利共赢的正常经贸投资合作，中方一直是支持和鼓励的。中方始终秉持开放合作的态度，坚持市场主导，立足充分竞争，与相关国家通过贸易、投资、技术等多种方式开展电动汽车产业合作，共同维护全球汽车产业链供应链稳定，并致力于绿色低碳转型和共同应对气候变化。,,,,
8,央视网,商务部：推动新疆自贸试验区与中东部地区加强产业交流合作,https://news.cctv.com/2024/10/31/ARTI9eKVAo2JDdxlg2GgdmFp241031.shtml,2024-10-31 15:59:27,,10月31日，商务部召开例行新闻发布会，发言人何亚东表示，新疆自贸试验区，是我国西北沿边地区首个自贸试验区，涵盖乌鲁木齐、喀什、霍尔果斯三个片区。推动新疆自贸试验区与中东部地区加强产业交流合作，支持自贸试验区聚焦重点产业，开展全链条集成创新。,,,,
9,央视网,国防部：军地深入推进网络涉军生态治理,https://news.cctv.com/2024/10/31/ARTI0AnSyBtIr5TM4O4PfoXC241031.shtml,2024-10-31 15:46:57,,10月31日下午，国防部举行例行记者会，国防部新闻发言人张晓刚大校答记者问。,,,,
10,央视网,习近平与文艺工作者的故事丨一见如故的情谊,https://news.cctv.com/2024/10/31/ARTIKZCT8k1Mt470PuDzWOBt241031.shtml,2024-10-31 15:46:09,,2014年10月，习近平总书记在文艺工作座谈会上提起已逝故人贾大山：“他给我印象最深的就是忧国忧民情怀，‘处江湖之远则忧其君’。”总书记勉励文艺工作者“与人民同呼吸、共命运、心连心”。,,,,
11,央视网,国家能源局：预计今冬明春北方地区清洁取暖能源供应总体运行平稳,https://news.cctv.com/2024/10/31/ARTIreUSsM88U61H8t1e6iNv241031.shtml,2024-10-31 15:41:01,,国家能源局10月31日举行新闻发布会，国家能源局发展规划司副司长董万成在会上表示，国家能源局高度重视迎峰度冬保暖保供工作，全力保障能源安全稳定供应和人民群众温暖过冬。　,,,,
