event_id,source,title,url,publish_time,author,content,heat
0,央视网,看图学习丨奋力打开改革发展新天地 总书记作出重要指引,https://news.cctv.com/2024/10/31/ARTILCuTfOmJQLhvlqp7OTi8241031.shtml,2024-10-31 16:29:53,央视网,改革只有进行时没有完成时10月29日省部级主要领导干部学习贯彻党的二十届三中全会精神专题研讨班在中央党校国家行政学院开班习近平总书记发表重要讲话就进一步全面深化改革的一系列重大问题进行深刻阐释强调要牢牢把握始终坚守守正创新这一重大原则把握好四对关系奋力打开改革发展新天地一起来学习,15000.0
1,央视网,近2500个大陆景区对台湾“首来族”游客推出促销活动,https://news.cctv.com/2024/10/31/ARTIIiWywlLCv032cUdIGkTg241031.shtml,2024-10-31 16:29:32,央视网,国务院台办发言人朱凤莲30日在北京表示截至目前累计有近2500个大陆景区对台湾首来族游客推出促销活动台湾首来族游客可通过景区网站入口标识和相关旅行社等及时了解景区有关减免门票费用措施,15000.0
2,央视网,“辣”出经济“热力” 全产业链转型 “小辣椒”催生“大生意”,https://news.cctv.com/2024/10/31/ARTIBRGYvdOqDjxtEKO8mSvC241031.shtml,2024-10-31 16:23:14,央视网,这段时间新疆巴州60余万亩色素辣椒进入集中晾晒加工期辣椒加工企业抢抓时机全力开工加紧收购加工辣椒产品,15000.0
3,央视网,“广交会生意”热闹火热 释放城市消费新活力,https://news.cctv.com/2024/10/31/ARTIuHgCk9UFRP90du27qJP4241031.shtml,2024-10-31 16:23:05,央视网,在广交会会场内客商们看品选货询价逛一圈需要超强的体力忙了一整天这些来自世界各地的客商是选择回酒店休息还是继续逛一逛,15000.0
4,央视网,广交会“探宝”，中国创造大有可为！,https://news.cctv.com/2024/10/31/ARTIVuKmfJ5miTIpMK7OruPC241031.shtml,2024-10-31 16:22:56,央视网,20204年的广交会上涌现出了一批新企业新产品新技术新业态同时也评选出了2024年广交会设计创新奖CF奖向世界呈现了中国智造的新名片在展示大厅2024年获奖的设计精品悉数亮相这里有智能制造科技赋能创新材料等特点的获奖产品,15000.0
5,央视网,“变”出机遇、“惠”利百姓，创新服务叫好又叫座……,https://news.cctv.com/2024/10/31/ARTIcPgzKhwl7X6TG67zQTyE241031.shtml,2024-10-31 16:22:46,央视网,日前我国城市公共交通领域的第一部行政法规城市公共交通条例以下简称条例正式对外公布并将从12月1日起施行,15000.0
6,央视网,商务部公布2025年货物出口配额总量及配额管理有关事项,https://news.cctv.com/2024/10/31/ARTISeyH6l5CCIydJyrurMXL241031.shtml,2024-10-31 16:11:18,央视网,商务部公告2024年第47号公布2025年货物出口配额总量,15000.0
7,央视网,商务部：对于中欧汽车产业互利共赢的正常经贸投资合作，中方一直是支持和鼓励的,https://news.cctv.com/2024/10/31/ARTINqdCfZfcGJmcSj9Kdnom241031.shtml,2024-10-31 16:00:36,央视网,对于中欧汽车产业互利共赢的正常经贸投资合作中方一直是支持和鼓励的中方始终秉持开放合作的态度坚持市场主导立足充分竞争与相关国家通过贸易投资技术等多种方式开展电动汽车产业合作共同维护全球汽车产业链供应链稳定并致力于绿色低碳转型和共同应对气候变化,15000.0
8,央视网,商务部：推动新疆自贸试验区与中东部地区加强产业交流合作,https://news.cctv.com/2024/10/31/ARTI9eKVAo2JDdxlg2GgdmFp241031.shtml,2024-10-31 15:59:27,央视网,10月31日商务部召开例行新闻发布会发言人何亚东表示新疆自贸试验区是我国西北沿边地区首个自贸试验区涵盖乌鲁木齐喀什霍尔果斯三个片区推动新疆自贸试验区与中东部地区加强产业交流合作支持自贸试验区聚焦重点产业开展全链条集成创新,15000.0
9,央视网,国防部：军地深入推进网络涉军生态治理,https://news.cctv.com/2024/10/31/ARTI0AnSyBtIr5TM4O4PfoXC241031.shtml,2024-10-31 15:46:57,央视网,10月31日下午国防部举行例行记者会国防部新闻发言人张晓刚大校答记者问,15000.0
