event_id,source,title,url,publish_time,author,content,like_count,share_count,comment_count,read_count
0,腾讯网,关注！超强台风康妮即将到来！它将如何发展？,https://view.inews.qq.com/a/20241031V00O5A00,2024-10-31 01:27:51,东风58号,,,,,
1,腾讯网,40年海水鱼产量增长200倍！我们吃的海鲜是怎么丰盛起来的｜这时乡村,https://view.inews.qq.com/a/20241030V06SJS00,2024-10-31 14:53:54,一起来唠科,"我国的近海养殖目前基本上已经饱和了，如果我们把15-40米水深的海域充分利用起来，就有6亿亩之多，产值相当于24亿亩耕地。
我国的近海养殖目前基本上已经饱和了，如果我们把15-40米水深的海域充分利用起来，就有6亿亩之多，产值相当于24亿亩耕地。
",,,,
2,腾讯网,超强台风“康妮”逼近！为什么台风越美丽越危险？,https://view.inews.qq.com/a/20241030V066OJ00,2024-10-31 07:00:00,定真科普时间,超强台风“康妮”来势汹汹，东南沿海警惕！为什么云图上看着越美丽的台风，往往也越危险？超强台风“康妮”来势汹汹，东南沿海警惕！为什么云图上看着越美丽的台风，往往也越危险？,,,,
3,腾讯网,8分钟记录636天：12种植物的生长历程,https://view.inews.qq.com/a/20241031V029JP00,2024-10-31 09:40:14,时五六,8分钟记录636天：12种植物的生长历程8分钟记录636天：12种植物的生长历程,,,,
4,腾讯网,北京九旬老人离家未归被搜救犬找回，汪汪队如何找到失踪者？,https://view.inews.qq.com/a/20241030V0AMR700,2024-10-31 09:44:35,explorer羽睿,,,,,
5,腾讯网,“紫金山-阿特拉斯彗星”下次什么时候来地球？,https://view.inews.qq.com/a/20241029V08ZEX00,2024-10-30 09:31:29,地理沙龙,六万多年前，“紫金山-阿特拉斯彗星”来访地球时，人类还在茹毛饮血；今天它来访的时候，人类已经孕育出了现代文明；等六万多年后，“紫金山-阿特拉斯彗星”再次造访地球时，人类文明将会发展到怎样的地步呢？六万多年前，“紫金山-阿特拉斯彗星”来访地球时，人类还在茹毛饮血；今天它来访的时候，人类已经孕育出了现代文明；等六万多年后，“紫金山-阿特拉斯彗星”再次造访地球时，人类文明将会发展到怎样的地步呢？,,,,
6,腾讯网,黑龙江水系到底有多猛，今天的黑龙江存在感为何不强呢？,https://view.inews.qq.com/a/20241029V02DGK00,2024-10-30 14:29:23,地球味儿,,,,,
7,腾讯网,雾和霾的出现多是因为大气层出现了逆温现象，那逆温是如何形成的呢？,https://view.inews.qq.com/a/20241029V02VCE00,2024-10-30 09:19:23,定真科普时间,"我们都知道对流层的气温随海拔上升而降低，但有时候却会出现一种异常现象——逆温，海拔上升气温也上升。逆温可以分为辐射逆温、下沉逆温、地形逆温、湍流逆温、平流逆温。逆温的出现往往容易出现雾和霾。
我们都知道对流层的气温随海拔上升而降低，但有时候却会出现一种异常现象——逆温，海拔上升气温也上升。逆温可以分为辐射逆温、下沉逆温、地形逆温、湍流逆温、平流逆温。逆温的出现往往容易出现雾和霾。
",,,,
8,腾讯网,野猪侵入高铁致机械师撞亡，南京猪患有多难治？为何不能一毙了之,https://view.inews.qq.com/a/20241030V00KAY00,2024-10-30 09:22:54,explorer羽睿,,,,,
9,腾讯网,北京跟踪拍摄：见证历史，看神舟十九号顺利发射仿佛金蝉脱壳,https://view.inews.qq.com/a/20241030V042B900,2024-10-30 11:43:23,天体物理博士刘博洋,"神十九升空过程中过境华北平原，二级主机关机、交棒给游机，继续托举神舟飞船进入轨道；从北京远眺，紫色火焰的“大弓形”一瞬间突变为“小弓形”，仿佛金蝉脱壳。

天气虽不尽理想但万幸可用，我在北京延庆记录下了这一过程。神十九升空过程中过境华北平原，二级主机关机、交棒给游机，继续托举神舟飞船进入轨道；从北京远眺，紫色火焰的“大弓形”一瞬间突变为“小弓形”，仿佛金蝉脱壳。

天气虽不尽理想但万幸可用，我在北京延庆记录下了这一过程。",,,,
10,腾讯网,乔任梁父母回应儿子“死因及遗体传闻”，呼吁不信谣不传谣，乔任梁好友也发声,https://view.inews.qq.com/a/20241031V04EWG00,2024-10-31 12:27:32,星知道,,,,,
11,腾讯网,侯明昊被陈好贴脸开大，花学语录再更新：咱们有钱但你们不想吃,https://view.inews.qq.com/a/20241031V02SBN00,2024-10-31 10:21:01,抓马星娱,,,,,
12,腾讯网,虞书欣丁禹兮穿书攻略，《永夜星河》好带感！,https://view.inews.qq.com/a/20241031V02H3S00,2024-10-31 09:58:43,透明的三三,虞书欣丁禹兮：永夜星河虞书欣丁禹兮：永夜星河,,,,
13,腾讯网,林依晨回应与言承旭的世纪同框，浪漫表示：心动的样貌永远不会变,https://view.inews.qq.com/a/20241030V08ZTR00,2024-10-31 09:55:00,阿欢的名单,,,,,
14,腾讯网,古偶剧不再需要大量配音后，00后新人就业难，机会少，底层群杂都难得,https://view.inews.qq.com/a/20241031V00U3800,2024-10-31 09:00:00,贵圈见证实录,,,,,
15,腾讯网,刘晓庆70多了还恋爱，网友改编一曲《怒放的生命》，唱出她的心声,https://view.inews.qq.com/a/20241031V00XPV00,2024-10-31 05:14:22,歌词改编大神,,,,,
16,腾讯网,11月观影指南：想看的不少，能卖的不多！,https://view.inews.qq.com/a/20241030V0AGFD00,2024-10-30 22:58:31,蛋蛋秀,,,,,
17,腾讯网,周雨彤礼物受害者联盟：金晨、龚俊、吴磊…个个有苦说不出,https://view.inews.qq.com/a/20241030V08UFY00,2024-10-30 21:30:00,古那拉,,,,,
18,腾讯网,《春花焰》大结局全员be，眉林大婚后毒发身亡，慕容璟和孤独终老未再娶妻,https://view.inews.qq.com/a/20241030V09X1K00,2024-10-30 21:39:10,贵圈星娱,,,,,
19,腾讯网,2025年第九届亚冬会会歌《尔滨的雪》发布——易烊千玺、单依纯青春演绎,https://view.inews.qq.com/a/20241030V09GZO00,2024-10-30 20:42:36,央视频,,,,,
20,腾讯网,血压高了吃点药，不高就挺一挺，看到这种并发症之后，您还敢吗？,https://view.inews.qq.com/a/20241031V04P2700,2024-10-31 13:10:18,神外医生张伟,,,,,
21,腾讯网,亲人在世时充分表达、宣泄，是为了减少离开后的悲伤 | 柔软的死亡,https://view.inews.qq.com/a/20241030V0AAAZ00,2024-10-31 10:00:00,王大仔一直都在,亲人在世时充分表达、宣泄，是为了减少离开后的悲伤亲人在世时充分表达、宣泄，是为了减少离开后的悲伤,,,,
22,腾讯网,OK镜真的能矫正视力吗？,https://view.inews.qq.com/a/20241029V02MIK00,2024-10-31 11:00:00,腾讯医典,OK镜真的能矫正视力吗？OK镜真的能矫正视力吗？,,,,
23,腾讯网,阜外医院完成全国首例新一代全磁悬浮人工心脏植入,https://view.inews.qq.com/a/20241031V03M0E00,2024-10-31 11:17:00,人民日报健康客户端,2024年10月28日，中国医学科学院阜外医院胡盛寿院士团队为一位71岁的心衰患者实施了HeartMate3人工心脏植入手术。HeartMate3是最新一代全磁悬浮左心室辅助装置，该技术可降低患者术后的血栓、中风风险，患者术后不必服用阿司匹林。据悉，该人工心脏于今年7月获得国家药品监督管理局批准。2024年10月28日，中国医学科学院阜外医院胡盛寿院士团队为一位71岁的心衰患者实施了HeartMate3人工心脏植入手术。HeartMate3是最新一代全磁悬浮左心室辅助装置，该技术可降低患者术后的血栓、中风风险，患者术后不必服用阿司匹林。据悉，该人工心脏于今年7月获得国家药品监督管理局批准。,,,,
24,腾讯网,他捐献的角膜在看着我，骨灰海撒了，有水的地方他都在 | 柔软的死亡,https://view.inews.qq.com/a/20241030V0AAV800,2024-10-31 10:00:00,王大仔一直都在,妻子：他捐献的角膜在看着我，骨灰海撒了有水的地方他都在妻子：他捐献的角膜在看着我，骨灰海撒了有水的地方他都在,,,,
