event_id,source,title,url,publish_time,author,content,heat
0,央视网,60多年历久弥新，广交会为何依然如此被需要？,https://news.cctv.com/2024/10/27/ARTIlicFOqx4LfSAKPKQkDeP241027.shtml,2024-10-27 00:18:53,央视网,为满足客商出行需求南方航空公司在广交会举办的半个多月期间将出入广州的航班增加至15万班次其中国际航班有3000多班次进场排队洽谈排队吃饭排队身处广交会展馆人头攒动的洪流中淹没在各种忙碌热烈的交易洽谈声中最能让人深切体会中国企业的努力中国经济的潜力,15000.0
1,央视网,外交部发言人就美国批准向中国台湾地区出售19.88亿美元武器答记者问,https://news.cctv.com/2024/10/26/ARTIwJpf6S4kpPQDAp0iUJlm241026.shtml,2024-10-26 23:08:27,央视网,据外交部网站消息外交部发言人就美国批准向中国台湾地区出售1988亿美元武器答记者问,15000.0
2,央视网,焦点访谈：丰产丰收的中国“粮”方,https://news.cctv.com/2024/10/26/ARTIuQ4QObErrKo23v1pMpqi241026.shtml,2024-10-26 21:40:29,央视网,粮食安全是国之大者近年来面对全球粮食安全形势严峻国内自然灾害多发频发等多重挑战我国把解决14亿多人的吃饭问题作为三农工作的头等大事千方百计促生产夺丰收,15000.0
3,央视网,341.6万人通过2025年国家公务员考试资格审查,https://news.cctv.com/2024/10/26/ARTIJkv3lEFMcnB7JU5DXCQJ241026.shtml,2024-10-26 21:05:44,央视网,中央机关及其直属机构2025年度考试录用公务员网上报名与资格审查工作分别于2024年10月24日1800和10月26日1800结束共有3416万人通过了用人单位的资格审查通过资格审查人数与录用计划数之比约为861,15000.0
4,央视网,本届广交会共建“一带一路”国家参会踊跃,https://news.cctv.com/2024/10/26/ARTILQaoAlGEjZFY5GA3yF3c241026.shtml,2024-10-26 20:36:18,央视网,在进口展区记者看到参展企业带来了精美的餐具家居装饰等展品据统计参展的33个共建一带一路国家的476家企业占到本届广交会进口展参展企业总数的652较上届增长87,15000.0
5,央视网,【在希望的田野上】各地稳步推进秋收秋种工作,https://news.cctv.com/2024/10/26/ARTIsm4F8QLmZZSJhd9WEIkP241026.shtml,2024-10-26 20:36:01,央视网,产粮大省黑龙江秋收整体进度已过九成当地一边全力推进秋粮收获一边做好秋整地工作为黑土地蓄能增效,15000.0
6,央视网,神舟十九号载人飞行任务发射场区展开全系统合练,https://news.cctv.com/2024/10/26/ARTITpnoJd94yvBx8sEmhO96241026.shtml,2024-10-26 20:35:46,央视网,此次合练酒泉卫星发射中心测发系统全部岗位参加在发射场系统的统一调度下塔架火箭飞船等分系统进行功能检查从飞行准备点火起飞到船箭分离实施全过程模拟演练,15000.0
7,央视网,“两新”政策效应加快显现,https://news.cctv.com/2024/10/26/ARTIMBFZArRCfNO7PlIn7wSc241026.shtml,2024-10-26 20:35:31,央视网,商务部发布的最新数据显示截至10月24日13635万名消费者购买了八大类家电产品19843万台各地家装厨卫焕新补贴产品达到约630万件累计带动销售额190亿元,15000.0
8,央视网,1-9月全国城镇新增就业1049万人,https://news.cctv.com/2024/10/26/ARTIoxw3OEjRTAKpPY1db2Xm241026.shtml,2024-10-26 20:34:59,央视网,截至9月底养老失业工伤等三项社会保险基金累计结余88万亿元社保基金运行总体平稳全国社保卡持卡人数已达1386亿人其中1034亿人领用电子社保卡,15000.0
9,央视网,“加快”“提振”“支撑”……从诸多关键词感知中国经济多维度活力,https://news.cctv.com/2024/10/26/ARTIoJAcBSxaIjYwPUraaTvw241026.shtml,2024-10-26 20:29:25,央视网,最新数据显示随着国家安排3000亿元超长期特别国债资金加力支持设备更新和消费品以旧换新以来政策效应加快显现,15000.0
10,央视网,习近平向莫桑比克当选总统查波致贺电,https://news.cctv.com/2024/10/26/ARTIbEFfrxoF6XN8r8bYMXUH241026.shtml,2024-10-26 20:05:19,央视网,习近平指出中国同莫桑比克传统友好近年来两国政治互信持续深化务实合作成果丰硕在涉及彼此核心利益和重大关切问题上坚定相互支持,15000.0
11,央视网,习近平对民政工作作出重要指示,https://news.cctv.com/2024/10/26/ARTIw7q5bBNA0s9Mq9uuMiOr241026.shtml,2024-10-26 20:05:00,央视网,习近平强调中国式现代化民生为大新时代新征程各级党委和政府要坚持以人民为中心加强对民政工作的领导加强普惠性基础性兜底性民生建设解决好人民最关心最直接最现实的利益问题不断推动民政事业高质量发展,15000.0
12,央视网,大金砖 大团结 大作为——习近平主席赴俄罗斯出席金砖国家领导人第十六次会晤成果丰硕亮点纷呈,https://news.cctv.com/2024/10/26/ARTITGfyDBlKVjEdipkhjaGL241026.shtml,2024-10-26 20:03:47,央视网,金秋十月习近平主席飞赴伏尔加河畔千年古城喀山出席金砖国家领导人第十六次会晤这是党的二十届三中全会胜利召开后习近平主席首次出访也是金砖国家实现历史性扩员后首次峰会,15000.0
13,央视网,第1视点｜为构建人类命运共同体汇聚“全球南方”磅礴力量,https://news.cctv.com/2024/10/26/ARTIvc5JOLe0DGLnxoiTdSxx241026.shtml,2024-10-26 19:38:43,央视网,当地时间10月24日上午国家主席习近平在喀山会展中心出席金砖领导人对话会并发表重要讲话,15000.0
14,央视网,广交会观察: 外商盯上中国户外露营潮,https://news.cctv.com/2024/10/26/ARTIlMR8vCMx5SelV8ZEqam9241026.shtml,2024-10-26 19:34:04,央视网,以品质家居为主题的第136届中国进出口商品交易会第二期下称广交会二期正在广州举行,15000.0
